"","country","study_num","max_depth_cm","Items_kg","latitude","longitude"
"181","China","5",20,1770,37.2389,118.8327
"182","China","5",20,1970,37.2107,118.8684
"183","China","5",20,1784,37.2542,118.9319
"184","China","5",20,1830,37.2417,118.8576
"185","China","5",20,1264,37.1753,118.6839
"186","China","5",20,1519,37.2603,118.9068
"187","China","5",20,1839,36.962961,119.014117
"188","China","5",20,1843,36.988422,119.051071
"189","China","5",20,1760,37.097,118.7337
"190","China","5",20,1833,37.0614,118.7008
"191","China","5",20,1435,37.0926,118.8251
"192","China","5",20,1431,37.0777,118.8793
"193","China","5",20,1834,37.1653,118.7464
"194","China","5",20,1548,37.1978,118.8065
"195","China","5",20,2119,37.2073,118.8316
"196","China","5",20,1359,37.1971,118.8914
"197","China","5",20,978,37.0957,118.7524
"198","China","5",20,1116,37.135,118.688
"199","China","5",20,1210,37.1274,118.768
"200","China","5",20,858,37.1692,118.8655
"201","China","5",20,2145,37.1712,118.6554
"202","China","5",20,1933,37.168,118.7855
"203","China","5",20,1667,37.2025,118.6851
"204","China","5",20,814,37.2073,118.8317
"205","China","5",20,1559,37.2082,118.8729
"206","China","5",20,1158,37.1987,118.749
"207","China","5",20,2177,37.0166,118.6551
"208","China","5",20,1833,37.0569,118.714
"209","China","5",20,1699,37.06,118.7579
"210","China","5",20,2345,37.0651,118.8014
"211","China","5",20,2122,37.0635,118.8307
"212","China","5",20,2719,37.0845,118.6959
"213","China","5",20,2778,37.0891,118.7963
"214","China","5",20,1832,37.0817,118.8322
"215","China","5",20,3254,37.1303,118.7817
"216","China","5",20,1701,37.1312,118.8298
"217","China","5",20,2078,36.751537,118.7261105
"218","China","5",20,4867,36.749284,118.767602
"219","China","5",20,2087,36.74746,118.808703
"220","China","5",20,1870,36.760555,118.816575
"221","China","5",20,1910,36.811209,118.642727
"222","China","5",20,2130,36.925541,118.621165
"223","China","5",20,2037,36.911356,118.864112
"224","China","5",20,4513,36.950718,118.593865
"225","China","5",20,1731,36.989614,118.593987
"226","China","5",20,1846,36.991151,118.835634
"227","China","5",20,1823,36.789839,118.687173
"228","China","5",20,6152,36.804239,118.773388
"229","China","5",20,3639,36.800751,118.901512
"230","China","5",20,2683,36.840853,118.908497
"231","China","5",20,2037,36.917908,118.638386
"232","China","5",20,2257,36.912831,118.733329
"233","China","5",20,1603,36.916168,118.776164
"234","China","5",20,2141,36.945285,118.722058
"235","China","5",20,1794,36.954107,118.787334
"236","China","5",20,5732,36.95022,118.952055
"237","China","5",40,832,37.1471,118.6893
"238","China","5",40,883,37.1272,118.79
"239","China","5",40,439,37.2417,118.8834
"240","China","5",40,776,37.2408,118.9248
"241","China","5",40,791,37.0913,118.7874
"242","China","5",40,838,37.1637,118.7355
"243","China","5",40,636,37.1278,118.738
"244","China","5",40,395,37.1758,118.7102
"245","China","5",40,792,37.1914,118.8599
"246","China","5",40,494,37.1631,118.759
"247","China","5",40,669,37.2399,118.7331
"248","China","5",40,425,37.2727,118.8311
"249","China","5",40,409,37.2557,118.8779
"250","China","5",40,650,37.2611,118.9222
"251","China","5",40,600,37.2389,118.8327
"252","China","5",40,641,37.2107,118.8684
"253","China","5",40,436,37.2542,118.9319
"254","China","5",40,633,37.2417,118.8576
"255","China","5",40,862,37.1753,118.6839
"256","China","5",40,508,37.2603,118.9068
"257","China","5",40,1591,36.962961,119.014117
"258","China","5",40,1739,36.988422,119.051071
"259","China","5",40,2100,37.097,118.7337
"260","China","5",40,1306,37.0614,118.7008
"261","China","5",40,1267,37.0926,118.8251
"262","China","5",40,1326,37.0777,118.8793
"263","China","5",40,854,37.1653,118.7464
"264","China","5",40,1751,37.1978,118.8065
"265","China","5",40,1254,37.2073,118.8316
"266","China","5",40,1385,37.1971,118.8914
"267","China","5",40,1050,37.0957,118.7524
"268","China","5",40,1047,37.135,118.688
"269","China","5",40,1275,37.1274,118.768
"270","China","5",40,1765,37.1692,118.8655
"271","China","5",40,1823,37.1712,118.6554
"272","China","5",40,911,37.168,118.7855
"273","China","5",40,1021,37.2025,118.6851
"274","China","5",40,1353,37.2073,118.8317
"275","China","5",40,1222,37.2082,118.8729
"276","China","5",40,1242,37.1987,118.749
"277","China","5",40,1019,37.0166,118.6551
"278","China","5",40,1334,37.0569,118.714
"279","China","5",40,1661,37.06,118.7579
"280","China","5",40,1599,37.0651,118.8014
"281","China","5",40,1362,37.0635,118.8307
"282","China","5",40,1468,37.0845,118.6959
